Date,CPI,Unemployment Rate,Market Yield,Industrial Production Rate,Treasury Bill Rate,Capacity Utilization
1971-02-01,0.0,0.0,-0.1299999999999999,-0.0718000000000032,-0.7400000000000002,-0.16130000000001132
1971-03-01,0.10000000000000142,0.09999999999999964,-0.41000000000000014,-0.04070000000000107,-0.3200000000000003,-0.3586999999999989
1971-04-01,0.10000000000000142,-0.09999999999999964,0.1299999999999999,0.21100000000000563,0.48,0.20839999999999748
1971-05-01,0.19999999999999574,0.0,0.5599999999999996,0.19180000000000064,0.2799999999999998,0.3241000000000014
1971-06-01,0.20000000000000284,0.0,0.1299999999999999,0.159399999999998,0.6100000000000003,-0.0014999999999929514
1971-07-01,0.10000000000000142,0.09999999999999964,0.21000000000000085,-0.11079999999999757,0.6500000000000004,-0.06449999999999534
1971-08-01,0.10000000000000142,0.09999999999999964,-0.15000000000000036,-0.22070000000000078,-0.45999999999999996,-1.113500000000002
1971-09-01,0.09999999999999432,-0.09999999999999964,-0.4400000000000004,0.6145999999999958,-0.25,1.3543999999999983
1971-10-01,0.10000000000000142,-0.20000000000000018,-0.20999999999999996,0.28770000000000095,-0.23000000000000043,0.9605999999999995
1971-11-01,0.10000000000000142,0.20000000000000018,-0.1200000000000001,0.16429999999999723,-0.2400000000000002,0.09369999999999834
1971-12-01,0.10000000000000142,0.0,0.1200000000000001,0.44890000000000185,-0.20999999999999996,0.5348999999999933
1972-01-01,0.10000000000000142,-0.20000000000000018,0.020000000000000462,0.9406000000000034,-0.6299999999999999,1.8141999999999996
1972-02-01,0.19999999999999574,-0.09999999999999964,0.1299999999999999,0.4180999999999955,-0.17999999999999972,0.47860000000000014
1972-03-01,0.0,0.09999999999999964,-0.009999999999999787,0.2834000000000003,0.5299999999999998,0.3558000000000021
1972-04-01,0.10000000000000142,-0.09999999999999964,0.1200000000000001,0.4077000000000055,-0.020000000000000018,0.6827000000000112
1972-05-01,0.10000000000000142,0.0,-0.0600000000000005,0.005699999999997374,-0.020000000000000018,-0.06880000000001019
1972-06-01,0.10000000000000142,0.0,-0.019999999999999574,0.09980000000000189,0.2200000000000002,0.06350000000000477
1972-07-01,0.09999999999999432,-0.10000000000000053,0.0,-0.04129999999999967,0.06999999999999984,-0.23799999999999955
1972-08-01,0.10000000000000142,0.0,0.09999999999999964,0.5672999999999959,0.03999999999999959,0.8620999999999981
1972-09-01,0.20000000000000284,-0.09999999999999964,0.33999999999999986,0.3271000000000015,0.6400000000000006,0.44190000000000396
1972-10-01,0.10000000000000142,0.09999999999999964,-0.0699999999999994,0.5315999999999974,0.08000000000000007,0.9328999999999894
1972-11-01,0.19999999999999574,-0.2999999999999998,-0.20000000000000018,0.5089000000000041,0.040000000000000036,0.8097000000000065
1972-12-01,0.10000000000000142,-0.09999999999999964,0.08000000000000007,0.48910000000000053,0.29000000000000004,0.8833999999999946
1973-01-01,0.20000000000000284,-0.2999999999999998,0.09999999999999964,0.32269999999999754,0.33999999999999986,0.38900000000001
1973-02-01,0.29999999999999716,0.09999999999999964,0.17999999999999972,0.6347000000000023,0.1899999999999995,1.115399999999994
1973-03-01,0.3999999999999986,-0.09999999999999964,0.07000000000000028,0.014499999999998181,0.4900000000000002,-0.11069999999999425
1973-04-01,0.30000000000000426,0.09999999999999964,-0.040000000000000036,-0.056800000000002626,0.16999999999999993,-0.41680000000000916
1973-05-01,0.19999999999999574,-0.09999999999999964,0.17999999999999972,0.30460000000000065,0.10000000000000053,0.25
1973-06-01,0.30000000000000426,0.0,0.05000000000000071,0.045000000000001705,0.8300000000000001,-0.27669999999999106
1973-07-01,0.0,-0.10000000000000053,0.22999999999999954,0.17909999999999826,0.8199999999999994,0.06040000000000134
1973-08-01,0.7999999999999972,0.0,0.27000000000000046,-0.06810000000000116,0.6600000000000001,-0.5131000000000085
1973-09-01,0.20000000000000284,0.0,-0.3100000000000005,0.36660000000000537,-0.3800000000000008,0.38219999999999743
1973-10-01,0.3999999999999986,-0.20000000000000018,-0.2999999999999998,0.34789999999999566,-1.0699999999999994,0.5250000000000057
1973-11-01,0.29999999999999716,0.20000000000000018,-0.05999999999999961,0.21540000000000248,0.6100000000000003,0.33389999999999986
1973-12-01,0.3999999999999986,0.10000000000000053,0.009999999999999787,-0.12279999999999802,-0.3799999999999999,-0.23569999999999425
1974-01-01,0.5,0.1999999999999993,0.25,-0.3138000000000005,0.3199999999999994,-0.9969999999999999
1974-02-01,0.5,0.10000000000000053,-0.03000000000000025,-0.13860000000000383,-0.6499999999999995,-0.5998000000000019
1974-03-01,0.5,-0.10000000000000053,0.25,0.006399999999999295,0.8399999999999999,-0.3392000000000053
1974-04-01,0.30000000000000426,0.0,0.2999999999999998,-0.12279999999999802,0.3700000000000001,-0.583200000000005
1974-05-01,0.5,0.0,0.07000000000000028,0.3434000000000026,-0.09999999999999964,0.3603000000000094
1974-06-01,0.3999999999999986,0.3000000000000007,-0.040000000000000036,-0.07469999999999999,-0.33000000000000007,-0.21219999999999573
1974-07-01,0.29999999999999716,0.09999999999999964,0.2699999999999996,0.07280000000000086,-0.35000000000000053,-0.2494000000000085
1974-08-01,0.6000000000000014,0.0,0.22999999999999954,-0.48570000000000135,1.410000000000001,-0.9693999999999932
1974-09-01,0.7000000000000028,0.40000000000000036,0.0,0.01279999999999859,-0.9000000000000004,-0.1758999999999986
1974-10-01,0.3999999999999986,0.09999999999999964,-0.1399999999999988,-0.14739999999999753,-0.6000000000000005,-0.7982000000000085
