Date,Recession,CPI,Unemployment Rate,Market Yield,Industrial Production Rate,Treasury Bill Rate,Capacity Utilization
1979-08-01,0.0,73.7,6.0,9.03,51.5966,9.52,83.1298
1979-09-01,0.0,74.4,5.9,9.33,51.5842,10.26,83.0261
1979-10-01,0.0,75.2,6.0,10.3,51.9405,11.7,83.2278
1979-11-01,0.0,76.0,5.9,10.65,51.8626,11.79,82.7782
1979-12-01,0.0,76.9,6.0,10.39,51.9025,12.04,82.8183
1980-01-01,0.0,78.0,6.3,10.8,52.1712,12.0,83.0159
1980-02-01,1.0,79.0,6.3,12.41,52.1976,12.86,82.7584
1980-03-01,1.0,80.1,6.3,12.75,51.9834,15.2,81.8788
1980-04-01,1.0,80.9,6.9,11.47,50.9746,13.2,80.0556
1980-05-01,1.0,81.7,7.5,10.18,49.7086,8.58,77.4906
1980-06-01,1.0,82.5,7.6,9.78,49.0754,7.07,76.0941
1980-07-01,1.0,82.6,7.8,10.25,48.7001,8.06,75.135
1980-08-01,0.0,83.2,7.7,11.1,48.8535,9.13,75.4838
1980-09-01,0.0,83.9,7.5,11.51,49.6791,10.27,76.568
1980-10-01,0.0,84.7,7.5,11.75,50.3058,11.62,77.7136
1980-11-01,0.0,85.6,7.5,12.68,51.1348,13.73,78.8528
1980-12-01,0.0,86.4,7.2,12.84,51.4875,15.49,78.9765
1981-01-01,0.0,87.2,7.5,12.57,51.1668,15.02,78.4224
1981-02-01,0.0,88.0,7.4,13.19,50.9509,14.79,77.7824
1981-03-01,0.0,88.6,7.4,13.12,51.2066,13.36,77.7973
1981-04-01,0.0,89.1,7.2,13.68,50.9711,13.69,77.9851
1981-05-01,0.0,89.7,7.5,14.1,51.2645,16.3,78.1459
1981-06-01,0.0,90.5,7.5,13.47,51.5247,14.73,77.5704
1981-07-01,0.0,91.5,7.2,14.28,51.8727,14.95,77.512
1981-08-01,1.0,92.2,7.4,14.94,51.8156,15.51,77.2998
1981-09-01,1.0,93.1,7.6,15.32,51.5692,14.7,76.8173
1981-10-01,1.0,93.4,7.9,15.15,51.1851,13.54,75.8904
1981-11-01,1.0,93.8,8.3,13.39,50.5914,10.86,74.757
1981-12-01,1.0,94.1,8.5,13.72,50.053,10.85,73.3678
1982-01-01,1.0,94.4,8.6,14.59,49.0358,12.28,71.413
1982-02-01,1.0,94.7,8.9,14.43,50.0309,13.48,73.2792
1982-03-01,1.0,94.7,9.0,13.86,49.6876,12.68,72.5891
1982-04-01,1.0,95.0,9.3,13.87,49.2266,12.7,71.8847
1982-05-01,1.0,95.9,9.4,13.62,48.8924,12.09,71.5995
1982-06-01,1.0,97.0,9.6,14.3,48.7588,12.47,71.4111
1982-07-01,1.0,97.5,9.8,13.95,48.5887,11.35,71.2073
1982-08-01,1.0,97.7,9.8,13.06,48.1582,8.68,70.4797
1982-09-01,1.0,97.7,10.1,12.34,48.0164,7.92,70.2386
1982-10-01,1.0,98.1,10.4,10.91,47.571,7.71,69.3128
1982-11-01,1.0,98.0,10.8,10.55,47.4235,8.07,68.8787
1982-12-01,0.0,97.7,10.8,10.54,47.0712,7.94,68.5876
1983-01-01,0.0,97.9,10.4,10.46,47.9518,7.86,70.14
1983-02-01,0.0,98.0,10.4,10.72,47.6648,8.11,70.0691
1983-03-01,0.0,98.1,10.3,10.51,48.054,8.35,70.6735
1983-04-01,0.0,98.8,10.2,10.4,48.6536,8.21,71.4938
1983-05-01,0.0,99.2,10.1,10.38,48.9668,8.19,72.3145
1983-06-01,0.0,99.4,10.1,10.85,49.251,8.79,72.8361
1983-07-01,0.0,99.8,9.4,11.38,49.9861,9.08,73.8327
1983-08-01,0.0,100.1,9.5,11.85,50.5862,9.34,74.4532
1983-09-01,0.0,100.4,9.2,11.65,51.3227,9.0,75.7844
1983-10-01,0.0,100.8,8.8,11.54,51.714,8.64,76.5092
1983-11-01,0.0,101.1,8.5,11.69,51.9425,8.76,76.8239
1983-12-01,0.0,101.4,8.3,11.83,52.1897,9.0,76.9253
1984-01-01,0.0,102.1,8.0,11.67,53.2371,8.9,78.2269
1984-02-01,0.0,102.6,7.8,11.84,53.4741,9.09,78.9765
1984-03-01,0.0,102.9,7.8,12.32,53.7313,9.52,79.2115
1984-04-01,0.0,103.3,7.7,12.63,54.0454,9.69,79.467
1984-05-01,0.0,103.5,7.4,13.41,54.3263,9.83,79.5409
1984-06-01,0.0,103.7,7.2,13.56,54.5095,9.87,79.7376
1984-07-01,0.0,104.1,7.5,13.36,54.6658,10.12,79.8631
1984-08-01,0.0,104.4,7.5,12.72,54.7307,10.47,79.8365
1984-09-01,0.0,104.7,7.3,12.52,54.5783,10.37,79.3583
1984-10-01,0.0,105.1,7.4,12.16,54.5549,9.74,79.5626
1984-11-01,0.0,105.3,7.2,11.57,54.74,8.61,79.5402
1984-12-01,0.0,105.5,7.3,11.5,54.7733,8.06,79.5165
1985-01-01,0.0,105.7,7.3,11.38,54.7203,7.76,79.0896
1985-02-01,0.0,106.3,7.2,11.51,54.91,8.27,78.5661
1985-03-01,0.0,106.8,7.2,11.86,54.9841,8.52,78.9421
1985-04-01,0.0,107.0,7.3,11.43,54.8853,7.95,78.4614
1985-05-01,0.0,107.2,7.2,10.85,54.952,7.48,78.3666
1985-06-01,0.0,107.5,7.4,10.16,54.9269,6.95,78.1835
1985-07-01,0.0,107.7,7.4,10.31,54.642,7.08,77.668
1985-08-01,0.0,107.9,7.1,10.33,54.8269,7.14,77.8769
1985-09-01,0.0,108.1,7.1,10.37,55.0447,7.1,77.78
1985-10-01,0.0,108.5,7.1,10.24,54.8418,7.16,77.4505
1985-11-01,0.0,109.0,7.0,9.78,55.0381,7.24,77.8557
1985-12-01,0.0,109.5,7.0,9.26,55.5958,7.1,78.0239
1986-01-01,0.0,109.9,6.7,9.19,55.8793,7.07,78.8498
1986-02-01,0.0,109.7,7.2,8.7,55.4963,7.06,78.331
1986-03-01,0.0,109.1,7.2,7.78,55.097,6.56,77.9801
1986-04-01,0.0,108.7,7.1,7.3,55.16,6.06,78.2846
1986-05-01,0.0,109.0,7.2,7.71,55.2556,6.15,78.3261
1986-06-01,0.0,109.4,7.2,7.8,55.0449,6.21,77.9265
1986-07-01,0.0,109.5,7.0,7.3,55.3725,5.83,78.2546
1986-08-01,0.0,109.6,6.9,7.17,55.2845,5.53,78.3752
1986-09-01,0.0,110.0,7.0,7.45,55.4459,5.21,78.5019
1986-10-01,0.0,110.2,7.0,7.43,55.6766,5.18,78.6551
1986-11-01,0.0,110.4,6.9,7.25,55.8828,5.35,78.7777
1986-12-01,0.0,110.8,6.6,7.11,56.4269,5.53,79.401
1987-01-01,0.0,111.4,6.6,7.08,56.2123,5.43,78.9375
1987-02-01,0.0,111.8,6.6,7.25,56.9589,5.59,79.9213
1987-03-01,0.0,112.2,6.6,7.25,57.0365,5.59,79.764
1987-04-01,0.0,112.7,6.3,8.02,57.3995,5.64,80.0213
1987-05-01,0.0,113.0,6.3,8.61,57.7653,5.66,80.3661
1987-06-01,0.0,113.5,6.2,8.4,58.0726,5.67,80.4849
1987-07-01,0.0,113.8,6.1,8.45,58.4772,5.69,80.9127
1987-08-01,0.0,114.3,6.0,8.76,58.9076,6.04,81.1531
1987-09-01,0.0,114.7,5.9,9.42,59.1237,6.4,81.5198
1987-10-01,0.0,115.0,6.0,9.52,59.9408,6.13,82.5757
1987-11-01,0.0,115.4,5.8,8.86,60.2323,5.69,82.8829
1987-12-01,0.0,115.6,5.7,8.99,60.5629,5.77,83.3249
1988-01-01,0.0,116.0,5.7,8.67,60.564,5.81,83.0578
1988-02-01,0.0,116.2,5.7,8.21,60.8632,5.66,83.2491
1988-03-01,0.0,116.5,5.7,8.37,61.0006,5.7,83.3961
1988-04-01,0.0,117.2,5.4,8.72,61.3536,5.91,84.0972
1988-05-01,0.0,117.5,5.6,9.09,61.2454,6.26,83.8695
1988-06-01,0.0,118.0,5.4,8.92,61.4107,6.46,83.99
1988-07-01,0.0,118.5,5.4,9.06,61.4169,6.73,83.9057
1988-08-01,0.0,119.0,5.6,9.26,61.7365,7.06,84.0101
1988-09-01,0.0,119.5,5.4,8.98,61.5395,7.24,84.2405
1988-10-01,0.0,119.9,5.4,8.8,61.7996,7.35,84.5317
1988-11-01,0.0,120.3,5.3,8.96,61.9552,7.76,84.7627
1988-12-01,0.0,120.7,5.3,9.11,62.2362,8.07,85.0483
1989-01-01,0.0,121.2,5.4,9.09,62.4165,8.27,85.6167
1989-02-01,0.0,121.6,5.2,9.17,62.1423,8.53,84.6582
1989-03-01,0.0,122.2,5.0,9.36,62.3049,8.82,84.4402
1989-04-01,0.0,123.1,5.2,9.18,62.2966,8.65,84.3978
1989-05-01,0.0,123.7,5.2,8.86,61.9483,8.43,83.5745
1989-06-01,0.0,124.1,5.3,8.28,61.9423,8.15,83.4819
1989-07-01,0.0,124.5,5.2,8.02,61.3334,7.88,82.2801
1989-08-01,0.0,124.5,5.2,8.11,61.9394,7.9,82.8376
1989-09-01,0.0,124.8,5.3,8.19,61.7394,7.75,82.4414
1989-10-01,0.0,125.4,5.3,8.01,61.6605,7.64,82.0136
1989-11-01,0.0,125.9,5.4,7.87,61.8627,7.69,81.9703
1989-12-01,0.0,126.3,5.4,7.84,62.2192,7.63,81.7949
1990-01-01,0.0,127.5,5.4,8.21,61.9021,7.64,81.5095
1990-02-01,0.0,128.0,5.3,8.47,62.464,7.74,82.4029
1990-03-01,0.0,128.6,5.2,8.59,62.7645,7.9,82.616
1990-04-01,0.0,128.9,5.4,8.79,62.6499,7.77,82.1268
1990-05-01,0.0,129.1,5.4,8.76,62.8126,7.74,82.1518
1990-06-01,0.0,129.9,5.2,8.48,63.0256,7.73,82.2298
1990-07-01,0.0,130.5,5.5,8.47,62.9353,7.62,81.8691
1990-08-01,1.0,131.6,5.7,8.75,63.172,7.45,82.0134
1990-09-01,1.0,132.5,5.9,8.89,63.1832,7.36,81.7499
1990-10-01,1.0,133.4,5.9,8.72,62.7886,7.17,81.0682
1990-11-01,1.0,133.7,6.2,8.39,62.0154,7.06,79.9897
1990-12-01,1.0,134.2,6.3,8.08,61.5915,6.74,79.2669
1991-01-01,1.0,134.7,6.4,8.09,61.3624,6.22,78.6333
1991-02-01,1.0,134.8,6.6,7.85,60.9255,5.94,77.9935
1991-03-01,1.0,134.8,6.8,8.11,60.5853,5.91,77.3269
1991-04-01,0.0,135.1,6.7,8.04,60.7604,5.65,77.5951
1991-05-01,0.0,135.6,6.9,8.07,61.3572,5.46,78.0206
1991-06-01,0.0,136.0,6.9,8.28,61.8396,5.57,78.6553
1991-07-01,0.0,136.2,6.8,8.27,62.0065,5.58,78.9684
1991-08-01,0.0,136.6,6.9,7.9,62.0141,5.33,78.9767
1991-09-01,0.0,137.0,6.9,7.65,62.5457,5.22,79.7017
1991-10-01,0.0,137.2,7.0,7.53,62.4572,4.99,79.4871
1991-11-01,0.0,137.8,7.0,7.42,62.371,4.56,79.2118
1991-12-01,0.0,138.2,7.3,7.09,62.0999,4.07,78.8932
1992-01-01,0.0,138.3,7.3,7.03,61.7744,3.8,78.2847
1992-02-01,0.0,138.6,7.4,7.34,62.2167,3.84,78.8083
1992-03-01,0.0,139.1,7.4,7.54,62.7223,4.04,79.4206
1992-04-01,0.0,139.4,7.4,7.48,63.1981,3.75,79.6663
1992-05-01,0.0,139.7,7.6,7.39,63.4008,3.63,79.9329
1992-06-01,0.0,140.1,7.8,7.26,63.4358,3.66,79.9867
1992-07-01,0.0,140.5,7.7,6.84,64.013,3.21,80.5113
1992-08-01,0.0,140.8,7.6,6.59,63.6652,3.13,79.9164
1992-09-01,0.0,141.1,7.6,6.42,63.8563,2.91,79.818
1992-10-01,0.0,141.7,7.3,6.59,64.3089,2.86,80.1177
1992-11-01,0.0,142.1,7.4,6.87,64.563,3.13,80.2354
1992-12-01,0.0,142.3,7.4,6.77,64.6477,3.22,80.0163
1993-01-01,0.0,142.8,7.3,6.6,64.9199,3.0,80.6189
1993-02-01,0.0,143.1,7.1,6.26,65.2156,2.93,80.6883
1993-03-01,0.0,143.3,7.0,5.98,65.1605,2.95,80.4064
1993-04-01,0.0,143.8,7.1,5.97,65.3503,2.87,80.6665
1993-05-01,0.0,144.2,7.1,6.04,65.0993,2.96,80.4342
1993-06-01,0.0,144.3,7.0,5.96,65.2428,3.07,80.2099
1993-07-01,0.0,144.5,6.9,5.81,65.3988,3.04,80.2571
1993-08-01,0.0,144.8,6.8,5.68,65.3265,3.02,79.9467
1993-09-01,0.0,145.0,6.7,5.36,65.6562,2.95,80.3429
1993-10-01,0.0,145.6,6.8,5.33,66.1632,3.02,80.8785
1993-11-01,0.0,146.0,6.6,5.72,66.4831,3.1,81.1104
1993-12-01,0.0,146.3,6.5,5.77,66.8399,3.06,81.3922
1994-01-01,0.0,146.3,6.6,5.75,67.0596,2.98,81.2906
1994-02-01,0.0,146.7,6.6,5.97,67.106,3.25,81.2203
1994-03-01,0.0,147.1,6.5,6.48,67.7792,3.5,82.0544
1994-04-01,0.0,147.2,6.4,6.97,68.1906,3.68,82.5441
1994-05-01,0.0,147.5,6.1,7.18,68.5136,4.14,82.7793
1994-06-01,0.0,147.9,6.1,7.1,68.9608,4.14,82.7479
1994-07-01,0.0,148.4,6.1,7.3,69.0536,4.33,82.7742
1994-08-01,0.0,149.0,6.0,7.24,69.5074,4.48,83.2093
1994-09-01,0.0,149.3,5.9,7.46,69.7304,4.62,83.2659
1994-10-01,0.0,149.4,5.8,7.74,70.2734,4.95,83.7331
1994-11-01,0.0,149.8,5.6,7.96,70.7471,5.29,84.0956
1994-12-01,0.0,150.1,5.5,7.81,71.4653,5.6,84.6805
1995-01-01,0.0,150.5,5.6,7.78,71.5873,5.71,84.5039
1995-02-01,0.0,150.9,5.4,7.47,71.4827,5.77,83.9532
1995-03-01,0.0,151.2,5.4,7.2,71.5962,5.73,83.8571
1995-04-01,0.0,151.8,5.8,7.06,71.4939,5.65,83.281
1995-05-01,0.0,152.1,5.6,6.63,71.8245,5.67,83.225
1995-06-01,0.0,152.4,5.6,6.17,72.0577,5.47,83.2567
1995-07-01,0.0,152.6,5.7,6.28,71.7421,5.42,82.3128
1995-08-01,0.0,152.9,5.7,6.49,72.6863,5.4,82.8894
1995-09-01,0.0,153.1,5.6,6.2,72.989,5.28,83.2762
1995-10-01,0.0,153.5,5.5,6.04,72.8743,5.28,82.7691
1995-11-01,0.0,153.7,5.6,5.93,73.0432,5.36,82.4149
1995-12-01,0.0,153.9,5.6,5.71,73.3148,5.14,82.2908
1996-01-01,0.0,154.7,5.6,5.65,72.9017,5.0,81.315
1996-02-01,0.0,155.0,5.5,5.81,73.955,4.83,82.0618
1996-03-01,0.0,155.5,5.5,6.27,73.8546,4.96,81.4431
1996-04-01,0.0,156.1,5.6,6.51,74.6152,4.95,82.0272
1996-05-01,0.0,156.4,5.6,6.74,75.15,5.02,82.1962
1996-06-01,0.0,156.7,5.3,6.91,75.719,5.09,82.5193
1996-07-01,0.0,157.0,5.5,6.87,75.7189,5.15,82.4308
1996-08-01,0.0,157.2,5.1,6.64,76.0875,5.05,82.3489
1996-09-01,0.0,157.7,5.2,6.83,76.5959,5.09,82.5763
1996-10-01,0.0,158.2,5.2,6.53,76.5662,4.99,82.0291
1996-11-01,0.0,158.7,5.4,6.2,77.2493,5.03,82.3045
1996-12-01,0.0,159.1,5.4,6.3,77.7342,4.91,82.5531
1997-01-01,0.0,159.4,5.3,6.58,77.8711,5.03,82.208
1997-02-01,0.0,159.7,5.2,6.42,78.7993,5.01,82.8889
1997-03-01,0.0,159.8,5.2,6.69,79.2746,5.14,83.1919
1997-04-01,0.0,159.9,5.1,6.89,79.3464,5.16,82.6376
1997-05-01,0.0,159.9,4.9,6.71,79.773,5.05,82.716
1997-06-01,0.0,160.2,5.0,6.49,80.1365,4.93,82.7247
1997-07-01,0.0,160.4,4.9,6.22,80.7798,5.05,82.7981
1997-08-01,0.0,160.8,4.8,6.3,81.6119,5.14,83.2737
1997-09-01,0.0,161.2,4.9,6.21,82.4022,4.95,83.4942
1997-10-01,0.0,161.5,4.7,6.03,83.1064,4.97,83.6385
1997-11-01,0.0,161.7,4.6,5.88,83.7534,5.14,83.8297
1997-12-01,0.0,161.8,4.7,5.81,84.1331,5.16,83.6787
1998-01-01,0.0,162.0,4.6,5.54,84.5113,5.04,83.6916
1998-02-01,0.0,162.0,4.6,5.57,84.6409,5.09,83.2048
1998-03-01,0.0,162.0,4.7,5.65,84.6684,5.03,82.4518
1998-04-01,0.0,162.2,4.3,5.64,84.9827,4.95,82.2608
1998-05-01,0.0,162.6,4.4,5.65,85.5129,5.0,82.0994
1998-06-01,0.0,162.8,4.5,5.5,84.998,4.98,80.9349
1998-07-01,0.0,163.2,4.5,5.46,84.6664,4.96,80.0857
1998-08-01,0.0,163.4,4.5,5.34,86.4183,4.9,81.5458
1998-09-01,0.0,163.5,4.6,4.81,86.3287,4.61,80.9624
1998-10-01,0.0,163.9,4.5,4.53,86.9767,3.96,81.2606
1998-11-01,0.0,164.1,4.4,4.83,86.9005,4.41,80.9233
1998-12-01,0.0,164.4,4.4,4.65,87.2514,4.39,80.9767
1999-01-01,0.0,164.7,4.3,4.72,87.6357,4.34,80.7858
1999-02-01,0.0,164.7,4.4,5.0,88.1298,4.44,81.0867
1999-03-01,0.0,164.8,4.2,5.23,88.2987,4.44,80.6837
1999-04-01,0.0,165.9,4.3,5.18,88.4947,4.29,80.589
1999-05-01,0.0,166.0,4.2,5.54,89.0447,4.5,80.8829
1999-06-01,0.0,166.0,4.3,5.9,88.9802,4.57,80.335
1999-07-01,0.0,166.7,4.3,5.79,89.5155,4.55,80.3382
1999-08-01,0.0,167.1,4.2,5.94,89.8984,4.72,80.4948
1999-09-01,0.0,167.8,4.2,5.92,89.496,4.68,79.8077
1999-10-01,0.0,168.1,4.1,6.11,90.6725,4.86,80.6648
1999-11-01,0.0,168.4,4.1,6.03,91.1438,5.07,80.8823
1999-12-01,0.0,168.8,4.0,6.28,91.8444,5.2,81.0962
2000-01-01,0.0,169.3,4.0,6.66,91.7942,5.32,80.7915
2000-02-01,0.0,170.0,4.1,6.52,92.1272,5.55,80.6848
2000-03-01,0.0,171.0,4.0,6.26,92.4733,5.69,80.8565
2000-04-01,0.0,170.9,3.8,5.99,93.0619,5.66,81.0452
2000-05-01,0.0,171.2,4.0,6.44,93.3427,5.79,80.735
2000-06-01,0.0,172.2,4.0,6.1,93.3908,5.69,80.5358
2000-07-01,0.0,172.7,4.0,6.05,93.204,5.96,80.2639
2000-08-01,0.0,172.7,4.1,5.83,92.9637,6.09,79.4299
2000-09-01,0.0,173.6,3.9,5.8,93.3533,6.0,79.5078
2000-10-01,0.0,173.9,3.9,5.74,93.0019,6.11,78.8856
2000-11-01,0.0,174.2,3.9,5.72,93.0137,6.17,78.354
2000-12-01,0.0,174.6,3.9,5.24,92.7388,5.77,77.6118
2001-01-01,0.0,175.6,4.2,5.16,92.2054,5.15,76.9454
2001-02-01,0.0,176.0,4.2,5.1,91.5813,4.88,76.1412
2001-03-01,0.0,176.1,4.3,4.89,91.3567,4.42,75.7186
2001-04-01,1.0,176.4,4.4,5.14,91.072,3.87,75.2164
2001-05-01,1.0,177.3,4.3,5.39,90.5335,3.62,74.5287
2001-06-01,1.0,177.7,4.5,5.28,90.0322,3.49,73.8849
2001-07-01,1.0,177.4,4.6,5.24,89.4778,3.51,73.3344
2001-08-01,1.0,177.4,4.9,4.97,89.3838,3.36,72.8643
2001-09-01,1.0,178.1,5.0,4.73,88.9262,2.64,72.4609
2001-10-01,1.0,177.6,5.3,4.57,88.6365,2.16,72.0104
2001-11-01,1.0,177.5,5.5,4.65,88.1058,1.87,71.6332
2001-12-01,0.0,177.4,5.7,5.09,88.0897,1.69,71.7041
2002-01-01,0.0,177.7,5.7,5.04,88.6706,1.65,72.0587
2002-02-01,0.0,178.0,5.7,4.91,88.6723,1.72,71.9802
2002-03-01,0.0,178.5,5.7,5.28,89.3624,1.79,72.4467
2002-04-01,0.0,179.3,5.9,5.21,89.7933,1.71,72.6267
2002-05-01,0.0,179.5,5.8,5.16,90.1629,1.73,72.9616
